"Genus"	"species"	"guild_fg"
"Sebacina"	"Sebacina"	"Ectomycorrhizal-Orchid Mycorrhizal-Root Associated Biotroph"
"Serendipita"	"Serendipita"	"Orchid Mycorrhizal"
"Setchelliogaster"	"Setchelliogaster"	"Ectomycorrhizal"
"Sistotrema"	"Sistotrema"	"Ectomycorrhizal-Wood Saprotroph"
"Sphaerosporella"	"Sphaerosporella"	"Ectomycorrhizal"
"Sphaerozone"	"Sphaerozone"	"Ectomycorrhizal"
"Stephanopus"	"Stephanopus"	"Ectomycorrhizal"
"Strobilomyces"	"Strobilomyces"	"Ectomycorrhizal"
"Boletus"	"Suillus"	"Ectomycorrhizal"
"Tarzetta"	"Tarzetta"	"Ectomycorrhizal"
"Terfezia"	"Terfezia"	"Ectomycorrhizal"
"Tirmania"	"Tirmania"	"Ectomycorrhizal"
"Tomentella"	"Tomentella"	"Ectomycorrhizal"
"Tomentellopsis"	"Tomentellopsis"	"Ectomycorrhizal"
"Tremellodendron"	"Tremellodendron"	"Ectomycorrhizal"
"Tretomyces"	"Tretomyces"	"Ectomycorrhizal"
"Tricholoma"	"Tricholoma"	"Ectomycorrhizal"
"Trichophaea"	"Trichophaea"	"Dung Saprotroph-Ectomycorrhizal"
"Truncocolumella"	"Truncocolumella"	"Ectomycorrhizal"
"Tuber"	"Tuber"	"Ectomycorrhizal"
"Tulasnella"	"Tulasnella"	"Ectomycorrhizal-Undefined Saprotroph"
"Gomphus"	"Turbinellus"	"Ectomycorrhizal"
"Tylopilus"	"Tylopilus"	"Ectomycorrhizal"
"Tylospora"	"Tylospora"	"Ectomycorrhizal"
"Underwoodia"	"Underwoodia"	"Ectomycorrhizal"
"Wilcoxina"	"Wilcoxina"	"Ectomycorrhizal"
"Xanthoconium"	"Xanthoconium"	"Ectomycorrhizal"
"Xenasmatella"	"Xenasmatella"	"Undefined Saprotroph"
"Xerocomellus"	"Xerocomellus"	"Ectomycorrhizal"
"Xerocomus"	"Xerocomus"	"Ectomycorrhizal"
"Zelleromyces"	"Zelleromyces"	"Ectomycorrhizal"
"Agaricus"	"Agaricus_xanthodermus"	"Soil Saprotroph"
"Armillaria"	"Armillaria_ostoyae"	"Plant Pathogen-Undefined Saprotroph"
"Calocybe"	"Calocybe_gambosa"	"Undefined Saprotroph"
"Clitocybe"	"Clitocybe_metachroa"	"Litter Saprotroph"
"Clitocybe"	"Clitocybe_rivulosa"	"Undefined Saprotroph"
"Collybia"	"Collybia_cookei"	"Fungal Parasite"
"Collybia"	"Collybia_tuberosa"	"Fungal Parasite"
"Conocybe"	"Conocybe_subpubescens"	"Dung Saprotroph"
"Coprinopsis"	"Coprinus_lagopus"	"Litter Saprotroph"
"Cortinarius"	"Cortinarius_orellanus"	"Ectomycorrhizal"
